A1 | Payal | payal@gmail.com | Admin
A2 | Admin | Admin@gmail.com | Admin
A3 | Payal | payal@gmail.com | Admin
A4 | Admin | Admin@gmail.com | Admin
A5 | Payal | payal@gmail.com | Admin
A6 | Admin | Admin@gmail.com | Admin
A7 | Payal | payal@gmail.com | Admin
A8 | Admin | Admin@gmail.com | Admin
A9 | Payal | payal@gmail.com | Admin
A10 | Admin | Admin@gmail.com | Admin
A11 | Payal | payal@gmail.com | Admin
A12 | Admin | Admin@gmail.com | Admin
A13 | Payal | payal@gmail.com | Admin
A14 | Admin | Admin@gmail.com | Admin
A15 | Payal | payal@gmail.com | Admin
A16 | Admin | Admin@gmail.com | Admin
A17 | Payal | payal@gmail.com | Admin
A18 | Admin | Admin@gmail.com | Admin
A19 | Payal | payal@gmail.com | Admin
A20 | Admin | Admin@gmail.com | Admin
A21 | Payal | payal@gmail.com | Admin
A22 | Admin | Admin@gmail.com | Admin
A23 | Payal | payal@gmail.com | Admin
A24 | Admin | Admin@gmail.com | Admin
V1 | auth | Admin2@gmail.com | Vendor
A25 | Payal | payal@gmail.com | Admin
A26 | Admin | Admin@gmail.com | Admin
A27 | Payal | payal@gmail.com | Admin
A28 | Admin | Admin@gmail.com | Admin
V2 | auth | Admin2@gmail.com | Vendor
A29 | Payal | payal@gmail.com | Admin
C1 | Admin | Admin@gmail.com | Customer
V3 | auth` | Admin3@gmail.com | Vendor
V4 | auth` | Admin3/@gmail.com | Vendor
V5 | vendor | vendor@123 | Vendor
